Training losses, oxford pets, contrastive
Epoch: 0, train acc: 0.1291, loss: 0.285176
Epoch: 1, train acc: 0.0589, loss: 0.187535
Epoch: 2, train acc: 0.0499, loss: 0.167588
Epoch: 3, train acc: 0.0502, loss: 0.155673
Epoch: 4, train acc: 0.0452, loss: 0.149228
Epoch: 5, train acc: 0.0455, loss: 0.140685
Epoch: 6, train acc: 0.0428, loss: 0.135199
Epoch: 7, train acc: 0.0400, loss: 0.129059
Epoch: 8, train acc: 0.0425, loss: 0.128607
Epoch: 9, train acc: 0.0450, loss: 0.127597
Epoch: 10, train acc: 0.0362, loss: 0.122393
Epoch: 11, train acc: 0.0403, loss: 0.115227
Epoch: 12, train acc: 0.0345, loss: 0.107376
Epoch: 13, train acc: 0.0370, loss: 0.105579
Epoch: 14, train acc: 0.0343, loss: 0.101977
Epoch: 15, train acc: 0.0381, loss: 0.095428
Epoch: 16, train acc: 0.0326, loss: 0.098770
Epoch: 17, train acc: 0.0362, loss: 0.088251
Epoch: 18, train acc: 0.0312, loss: 0.084558
Epoch: 19, train acc: 0.0302, loss: 0.084365
Epoch: 20, train acc: 0.0310, loss: 0.082365
Epoch: 21, train acc: 0.0312, loss: 0.076981
Epoch: 22, train acc: 0.0291, loss: 0.067213
Epoch: 23, train acc: 0.0280, loss: 0.074858
Epoch: 24, train acc: 0.0260, loss: 0.066338
Epoch: 25, train acc: 0.0271, loss: 0.061324
Epoch: 26, train acc: 0.0241, loss: 0.057123
Epoch: 27, train acc: 0.0192, loss: 0.054340
Epoch: 28, train acc: 0.0247, loss: 0.050540
Epoch: 29, train acc: 0.0219, loss: 0.051667
Epoch: 30, train acc: 0.0222, loss: 0.045243
Epoch: 31, train acc: 0.0222, loss: 0.046158
Epoch: 32, train acc: 0.0206, loss: 0.041181
Epoch: 33, train acc: 0.0219, loss: 0.041297
Epoch: 34, train acc: 0.0192, loss: 0.036022
Epoch: 35, train acc: 0.0186, loss: 0.032977
Epoch: 36, train acc: 0.0219, loss: 0.036453
Epoch: 37, train acc: 0.0173, loss: 0.030213
Epoch: 38, train acc: 0.0217, loss: 0.034071
Epoch: 39, train acc: 0.0173, loss: 0.031652
Epoch: 40, train acc: 0.0167, loss: 0.027972
Epoch: 41, train acc: 0.0186, loss: 0.026038
Epoch: 42, train acc: 0.0192, loss: 0.033824
Epoch: 43, train acc: 0.0225, loss: 0.027338
Epoch: 44, train acc: 0.0186, loss: 0.025109
Epoch: 45, train acc: 0.0271, loss: 0.057640
Epoch: 46, train acc: 0.0244, loss: 0.059786
Epoch: 47, train acc: 0.0269, loss: 0.057378
Epoch: 48, train acc: 0.0208, loss: 0.057332
Epoch: 49, train acc: 0.0244, loss: 0.056452
Epoch: 50, train acc: 0.0247, loss: 0.055683
Epoch: 51, train acc: 0.0200, loss: 0.053155
Epoch: 52, train acc: 0.0208, loss: 0.050018
Epoch: 53, train acc: 0.0189, loss: 0.046044
Epoch: 54, train acc: 0.0211, loss: 0.040777
Epoch: 55, train acc: 0.0189, loss: 0.039277
Epoch: 56, train acc: 0.0197, loss: 0.038655
Epoch: 57, train acc: 0.0197, loss: 0.036911
Epoch: 58, train acc: 0.0195, loss: 0.039581
Epoch: 59, train acc: 0.0211, loss: 0.032384
Epoch: 60, train acc: 0.0184, loss: 0.033660
Epoch: 61, train acc: 0.0208, loss: 0.032795
Epoch: 62, train acc: 0.0170, loss: 0.026619
Epoch: 63, train acc: 0.0151, loss: 0.021460
Epoch: 64, train acc: 0.0134, loss: 0.020716
Epoch: 65, train acc: 0.0148, loss: 0.015265
Epoch: 66, train acc: 0.0175, loss: 0.016295
Epoch: 67, train acc: 0.0162, loss: 0.010694
Epoch: 68, train acc: 0.0184, loss: 0.012585
Epoch: 69, train acc: 0.0162, loss: 0.008552
Epoch: 70, train acc: 0.0137, loss: 0.007726
Epoch: 71, train acc: 0.0140, loss: -0.000500
Epoch: 72, train acc: 0.0132, loss: 0.000341
Epoch: 73, train acc: 0.0107, loss: -0.002931
Epoch: 74, train acc: 0.0112, loss: -0.005600
Epoch: 75, train acc: 0.0099, loss: -0.008736
Epoch: 76, train acc: 0.0121, loss: -0.007015
Epoch: 77, train acc: 0.0101, loss: -0.015342
Epoch: 78, train acc: 0.0137, loss: -0.015421
Epoch: 79, train acc: 0.0112, loss: -0.014215
Epoch: 80, train acc: 0.0093, loss: -0.014557
Epoch: 81, train acc: 0.0090, loss: -0.017150
Epoch: 82, train acc: 0.0104, loss: -0.017285
Epoch: 83, train acc: 0.0090, loss: -0.022818
Epoch: 84, train acc: 0.0118, loss: -0.016362
Epoch: 85, train acc: 0.0088, loss: -0.019317
Epoch: 86, train acc: 0.0104, loss: -0.022538
Epoch: 87, train acc: 0.0077, loss: -0.020964
Epoch: 88, train acc: 0.0107, loss: -0.023506
Epoch: 89, train acc: 0.0077, loss: -0.024327

EVAL -- oxford pets, oxford pets, oxfor pets, vanilla mf 
attack:ours, dataset:oxford_pets, target:rn18, ASR: 0.4113, clean: 0.5026, adv: 0.0913

EVAL -- oxford pets, oxford pets, oxfor pets, contrastive mf -- seed 1
attack:ours, dataset:oxford_pets, target:rn18, ASR: 0.3987, clean: 0.5026, adv: 0.1038

EVAL -- oxford pets, oxford pets, oxfor flowers, contrastive mf -- seed 1
attack:ours, dataset:oxford_flowers, target:rn18, ASR: 0.4129, clean: 0.8384, adv: 0.4255

EVAL -- oxford pets, oxford pets, oxfor flowers, vanilla mf 
attack:ours, dataset:oxford_flowers, target:rn18, ASR: 0.2944, clean: 0.8384, adv: 0.5441

